gtin;mpn;name;brand;brand_images;short_description;long_description;keywords;images;accessories;others;category_ids;group_id;attributes
4043898018296;7717102 060;Stetson Leder Cap Basecap Ikpek Antique Brown Braun;Stetson;;Leder Basecap von Stetson in 'Heavy used' Optik von Stetson Klassisches 6 Felder Basecap von Stetson Nur die vorderen beiden Felder sind innen mit leichtem Baumwollvlies bedeckt Aus hochwertig verarbeitetem Leder Metalleingefaßt Luftlöcher Schirm / Visor sehr stark vorgebogen Ganzjährig tragbar Einheitsgröße hinten offen Das Cap hat innen ein breites Stoffschweissband Mit Lederband und Metallschließe größenverstellbar;;;www.fake_url.de;;;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Kappen > Baseballmützen;Baseball Caps bei CAPS AND SOX;{"condition":"new","shipping_weight":"300 g","gender":"male","age_group":"adult","size":"Einheitsgröße","color":"Braun","material":"Leder","pattern":""}
4043898018319;7717104 006;Stetson Leder Cap Basecap Liberty Distressed Braun;Stetson;;Hochwertiges weiches Leder Baseball Cap von Stetson Sehr gut vorgebogener Schirm / Visor Metallgefaßte Luftlöcher an den Seiten Kein Innenfutter Einheitsgrösse mit Grundgrösse 58cm Kopfumfang Größenverstellbar mit Metallschließe von ca. 57-60cm Kopfumfang 100% Leder ;;;www.fake_url.de;;;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Kappen > Baseballmützen;Baseball Caps bei CAPS AND SOX;{"condition":"new","shipping_weight":"300 g","gender":"male","age_group":"adult","size":"Einheitsgröße - verstellbar","color":"Braun","material":"Leder","pattern":""}
4043898014355;206000002116;Gürtel Rock Solids Seatbelt Schwarz;No Name;;Ausgefallener Gürtel aus einem Original Auto Sitzgurt Der ganz besondere Gürtel Gemacht aus einem Original Auto Gurt Mit Original Schnalle Größeneinstellung über Schiebeschnalle => So hat man keinen losen Gürtelenden rumwedeln Einheitsgröße - max 110cm;;;www.fake_url.de;;;Bekleidung & Accessoires > Bekleidungsaccessoires > Gürtel;Gürtel bei CAPS AND SOX;{"condition":"new","shipping_weight":"200 g","gender":"unisex","age_group":"adult","size":"Einheitsgröße für Gürtel","color":"Schwarz","material":"","pattern":""}
4043898564359;BRICAFIDBLTW;Brixton Cap Mütze Fiddler Elbsegler Cotton;Brixton;;Schwarze, dem beliebten Elbsegler nachempfundene Mütze von Brixton Klassische Kapitäns oder Fischermann Mütze von Brixton Der Schnitt des Caps ist dem in Deutschland beliebten Elbsegler nachempfunden Der Schirm / Visor des Caps ist vorgebogen Vorne mit schwarzer Kordel Der Rand ist leicht verstärkt Stoff in Herringbone / Fischgrät Muster gewebt Innen mit Extra Futter Aussen 100% Baumwolle Beachten Sie bitte die abweichenden Größen bei Brixton Small = 56cm Kopfumfang Medium = 58cm Kopfumfang Large = 60cm Kopfumfang X-Large = 62cm Kopfumfang;;;www.fake_url.de;;;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Mützen;Weitere Mützenformen bei CAPS AND SOX;{"condition":"new","shipping_weight":"200 g","gender":"male","age_group":"adult","size":"","color":"Schwarz","material":"Baumwolle","pattern":""}
4043898654353;Max-CG148;Robin Ruth Baseball Cap Germany Max Vintage;Robin Ruth;;Cooles Basecap Max Cap von Robin Ruth Germany Applikation aus Teddyplüsch Im angesagten Used Look - der Schirm hat ein großes und ein kleines Loch, das einen Stoff in Kontrastfarbe freigibt Vorgebogener Schirm / Visor Leicht gepolstertes Innenband mit Robin Ruth Logoschriftzug Farben: Beige, Grün und Grau Material: 100% Baumwolle Maße (ungefähr): Grundumfang: 56 cm - Größe verstellbar Schirm: 17,5 cm x 7 cm Höhe: 12 cm;;;www.fake_url.de;;;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Kappen > Baseballmützen;Baseball Caps bei CAPS AND SOX;{"condition":"new","shipping_weight":"200 g","gender":"unisex","age_group":"adult","size":"Einheitsgröße","color":"","material":"Baumwolle","pattern":""}
4053498018319;0258BC;Kangol Wool 504 Cap Schiebermütze Flatcap;Kangol;;Attraktives Flatcap 504 in verschiedenen Farben von Kangol Der Klassiker unter den Flatcaps Breiter, beinahe runder Schnitt Dynamische Wirkung durch die besonders flache Form Schirm schaut frech unterm Cap hervor Mit silbergrauem Kangol Sticklogo auf der Rückseite Weiches, dehnbares Innenband für angenehmen Tragekomfort Material: 100% Schurwolle Maße (ungefähr): Höhe (Hinterkopf): 10cm Größen: S: 57cm M: 58,5cm L: 60cm XL: 61,5 cm XXL: 63cm ;;;www.fake_url.de;;;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Mützen;Schiebermützen bei CAPS AND SOX;{"condition":"new","shipping_weight":"200 g","gender":"unisex","age_group":"adult","size":"","color":"","material":"Wolle","pattern":""}
4045438018319;;Flexfit Flex Cap Basecap Fullcap Pinstripe;Flexfit;;Original Flexfit Fullcap im Nadelstreifen Look Klassisches 6 Panel Flex Cap von Flexfit Frontpanels sind verstärkt Eleganter Nadelstreifen Look (Pinstripe) Hinten geschlossen = Fullcap Vorgebogener Schirm / Visor Der patentierte Flexfiteinsatz sorgt für besten Sitz 97% Polyester 3% Spandex Leicht glänzende Satinoptik Farben: Blau, Grau, Braun, Schwarz, Weiss Grössen: ?S/M für ca. 56-58cm Kopfumfang L/XL für ca. 59-61cm Kopfumfang;;;www.fake_url.de;;;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Kappen > Baseballmützen;Flex Caps;{"condition":"new","shipping_weight":"200 g","gender":"unisex","age_group":"adult","size":"","color":"","material":"Polyester-Mix","pattern":""}
4043864565676;;Bandana Hanky Code Tuch Halstuch;Hav-A-Hank;;Bandana Tücher aus Baumwolle mit klassischem Druck in vielen Farben Bandana Tuch für den Kopf oder Hals Auch als Hanky Code benutzbar Bedruckt mit klassischem Muster 100% Baumwolle Maße: ca. 54x54cm Original Hav-A-Hank Produktion made in USA Bitte beachten Sie: Neben der abgebildeten Farbe haben Sie die Auswahl aus 25 weiteren Farben sowie etlichen anderen Mustern.Wir bestellen gerne kurzfristig für Sie. ;;;www.fake_url.de;;;Bekleidung & Accessoires > Bekleidungsaccessoires > Bandanas & Stofftücher;Bandanas bei CAPS AND SOX;{"condition":"new","shipping_weight":"50 g","gender":"unisex","age_group":"adult","size":"","color":"","material":"Baumwolle","pattern":""}
4354353518319;7491102;Stetson Army Cap Mütze Datto;Stetson;;Stylisches Armycap Datto von Stetson in mehreren Farben In cooler Vintageleder Optik Grobe Nähte mit auffälligen Einstichlöchern unterstreichen das Design im Used Look Mit Sun Guard Ausrüstung LSF 40+ zum Schutz gegen die Sonne Besonders flacher Schnitt Stetson Logostick auf der linken Seite vorn Nieten innen mit metallischem Netz Vorgebogener Schirm / Visor - kann bei Belieben nachgebogen werden Lässt sich hinten mit Gurt in der Größe verstellen Innen mit weichem Band für erhöhten Tragekomfort Material: 50% Baumwolle, 50% Polyester Maße (ungefähr): Höhe: 7 cm Schirm: 18 cm x 6 cm cm;;;www.fake_url.de;;;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Mützen;Army Caps bei CAPS AND SOX;{"condition":"new","shipping_weight":"200 g","gender":"male","age_group":"adult","size":"","color":"","material":"Baumwoll-Mix","pattern":""}
4043435438567;221702-015;Levis Strohhut City Hut Flexible;Levis;;Lässiger Strohhut Flexible in Natur von Levis Ob City, Strand oder beides - mit diesem Style sind Sie bald in aller Munde Die eingearbeiteten Kunstfasern sorgen für extra Halt und glänzen gleichzeitig elegant in der Sonne Mit klassisches Garnitur in Rot, Blau und Off White Links auf der Garnitur mit metallenem Levis Logotag Lässt sich knautschen, ohne, dass der Hut seine Form verlieren würde Weiches Innenband Material: 100% Papierstroh Maße (ungefähr): Umfang: 56,5 cm (S), 57,5 cm (M), 59,5 cm (L) Höhe: 11 cm Krempe: 4,5 cm Garnitur: 4 cm;;;www.fake_url.de;;;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Sonnenhüte;Strohhüte bei CAPS AND SOX;{"condition":"new","shipping_weight":"300 g","gender":"unisex","age_group":"adult","size":"","color":"Natur","material":"Papier","pattern":""}